The Selfish Gene,Charles Simonyi Chair of Public Understanding of Science Richard Dawkins,9780198788607,544
Darwin's Dangerous Idea,Daniel C. Dennett,9780684824710,586
Free Will,Sam Harris,9781451683400,83
Lying,Sam Harris,9781940051000,105
Letter to a Christian Nation,Sam Harris,9780307278777,120
"The End of Faith: Religion, Terror, and the Future of Reason",Sam Harris,9780393327656,348
Waking Up,Sam Harris,9781451636024,256
Breaking the Spell,Daniel C. Dennett,9780143038337,448
From Bacteria to Bach and Back,Daniel Clement Dennett,9780393242072,496
Higher Superstition,Paul R. Gross,9780801857072,348
Fashionable Nonsense,Alan Sokal,9780312204075,300
Professing Feminism,Daphne Patai,9780739104552,426
The Origin of Species,Charles Darwin,9781400041275,972
The Victims' Revolution,Bruce Bawer,9780061807374,400
Force and Fanaticism,Simon Ross Valentine,9781849044646,256
The Big Picture,Sean Carroll,9781101984253,480
Astrophysics for People in a Hurry,Neil deGrasse Tyson,9780393609394,144
Decoding the Universe,Charles Seife,9780143038399,304
The Science of Language,Noam Chomsky,9781107016378,321
"The Rise of Statistical Thinking, 1820-1900",Theodore M. Porter,9780691024097,333
The Greatest Story Ever Told--So Far,Lawrence M. Krauss,9781476777610,336
A Universe from Nothing,Lawrence M. Krauss,9781451624465,240
A Treatise on the Fundamental Principles of Violin Playing,Leopold Mozart,9780193185135,235
Tesla,Margaret Cheney,9780743215367,400
The Wizard of Menlo Park,Randall E. Stross,9781400047635,376
Vivaldi,H. C. Robbins Landon,9780226468426,208
Tchaikovsky,David Brown,9781605980171,460
The Cambridge History of the Second World War,John Ferris,9781107038929,675
The Cambridge History of the Second World War,Richard Bosworth,9781107034075,650
The Cambridge History of the Second World War,Michael Geyer,9781107039957,864
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602311,712
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602304,680
The Cambridge History of the Cold War,Melvyn P. Leffler,9781107602298,662
"The Cambridge History of the First World War: Volume 3, Civil Society",Jay Winter,9781316601433,779
"The Cambridge History of the First World War: Volume 2, The State",Jay Winter,9781316504994,802
The Art of Not Being Governed,James C. Scott,9780300169171,442
The Invisible Bridge,Rick Perlstein,9781476782423,880
Nixonland,Rick Perlstein,9780743243032,896
The Rise and Fall of the Third Reich,William L. Shirer,9781451651683,1249
Stalin,E. S. Radinskij,9780385479547,624
The History of the Decline and Fall of the Roman Empire,Edward Gibbon,9780140437645,795
The Reformation,Diarmaid MacCulloch,9780143035381,831
A Reader on Punishment,Antony Duff,9780198763536,351
A theory of justice,John Rawls,9780674000780,538
The Routledge Companion to Philosophy of Law,Andrei Marmor,9780415878180,630
"Law, Liberty, and Morality",H. L. A. Hart,9780804701549,88
Philosophy of Law,Joel Feinberg,9781133942962,1039
The Philosophy of Law,Frederick F. Schauer,9780195155129,1002
Criminal Justice,Frank J. Schmalleger,9780133591316,528
The Oxford Handbook of Jurisprudence and Philosophy of Law,Jules Coleman,9780199270972,1072
Jurisprudence,Brian Bix,9781611637212,364
"Wills, Trusts, and Estates","Thomas M. Featherston, Jr.",9780769896250,193
Wills and Trusts in a Nutshell,ROBERT. MENNELL,9781634604871,388
"Wills, Trusts, and Estates",Gerry W. Beyer,9781454850052,768
Federal Income Taxation of Individuals in a Nutshell,John K. McNulty,9780314927002,543
Federal Income Tax,Katherine Pratt,9781454833901,601
Professional Responsibility,W. Bradley Wendel,9781454868439,608
Public International Law in a Nutshell,Thomas Buergenthal,9780314279965,473
International Law,Valerie Epps,9781454833949,444
Trademark and Unfair Competition Law in a Nutshell,Mark D. Janis,9780314163417,399
Intellectual Property,Arthur Raphael Miller,9780314278340,473
Federal Jurisdiction,Erwin Chemerinsky,9781454804024,1132
Federal Courts,Laura E. Little,9781454815556,524
Questions and Answers,David P. Leonard,9780769864228,300
Employment Discrimination,Susan Grover,9781454816102,608
Employment Law in a Nutshell,Robert N. Covington,9780314195401,567
Questions & Answers,Douglas M. Branson,9781422490853,356
Corporations,Alan R. Palmiter,9781454850168,864
Siegel's Corporations and Other Business Entities,Siegel,9781454809272,288
The Law of Corporations in a Nutshell,Robert W. Hamilton,9780314904577,442
Administrative Law and Process in a Nutshell,Ronald Levin,9781628103557,521
Administrative Law,William F. Funk,9781454850106,456
Questions and Answers,John Copeland Nagle,9780769865102,148
Criminal Law,Richard G. Singer,9781454815532,608
Concepts and Case Analysis in the Law of Contracts,Marvin A. Chirelstein,9781609303303,258
Questions and Answers,Scott J. Burnham,9781630431495,213
Constitutional Law,Erwin Chemerinsky,9781454849476,1488
Civil Procedure in a Nutshell,Mary Kay Kane,9780314285881,334
Understanding Criminal Law,Joshua Dressler,9781632838643,603
