Title,Author,ISBN,Pages,Subject
Tax procedure and tax fraud in a nutshell,Camilla E. Watson,9781634599320,,Law
Federal income tax,Joseph Bankman,9781454833901,,Law
Questions &amp;amp; answers,Patrick Emery Longan,9781422498606,,Law
Professional Responsibility: Examples And Explanations,W. Bradley Wendel,9781454868439,,Law
Public International Law in a Nutshell,Thomas Buergenthal,9780314279965,473,Law
International Law,Valerie Epps,9781454833949,,Law
Trademark And Unfair Competition Law In A Nutshell,Mark D. Janis,9780314163417,,Law
Intellectual Property,Arthur Raphael Miller,9780314278340,473,Law
Intellectual property: examples and explanations,Stephen M. McJohn,9781454850151,,Law
Federal Jurisdiction,Erwin Chemerinsky,9781454804024,1132,Law
Federal Courts,Laura E. Little,9781454815556,524,Law
Questions and Answers,David P. Leonard,9780769864228,300,Law
Federal Rules of [Evidence] in a nutshell,Michael H. Graham,9781628105490,,Law
Evidence in a nutshell: State and Federal rules,Paul F. Rothstein,9780314278333,,Law
Evidence,Arthur Best,9781454850045,,Law
Employment Discrimination,Susan Grover,9781454816102,608,Law
Employment Law in a Nutshell,Robert N. Covington,9780314195401,567,Law
Questions & Answers,Douglas M. Branson,9781422490853,356,Law
Corporations,Alan R. Palmiter,9781454850168,864,Law
Siegel's Corporations and Other Business Entities,Siegel,9781454809272,288,Law
The Law of Corporations in a Nutshell,Robert W. Hamilton,9780314904577,442,Law
Antitrust,Daniel A. Crane,9781454837992,,Law
Antitrust Law and Economics in a Nutshell,Ernest Gellhorn,9780314257239,617,Law
Antitrust,Christopher L. Sagers,9781454833956,,Law
Administrative Law and Process in a Nutshell,Ronald Levin,9781628103557,521,Law
Administrative Law,William F. Funk,9781454850106,456,Law
Questions and Answers,John Copeland Nagle,9780769865102,148,Law
Questions &amp;amp; answers,Emily Marcus Levine,9780769857718,,Law
Criminal law in a nutshell,Arnold H. Loewy,9780314194961,,Law
Criminal Law,Richard G. Singer,9781454815532,608,Law
Concepts and Case Analysis in the Law of Contracts,Marvin A. Chirelstein,9781609303303,258,Law
Questions and Answers,Scott J. Burnham,9781630431495,213,Law
Contracts In A Nutshell,Claude D. Rohwer,9781634599146,,Law
Contracts,Brian A. Blum,9781454815471,,Law
Constitutional Law--Principles And Policies,Erwin Chemerinsky,9781454849476,,Law
Constitutional law in a nutshell,Jerome A. Barron,9781634596237,,Law
Civil Procedure: Examples And Explanations,Joseph W. Glannon,9781454815488,,Law
Civil Procedure In A Nutshell,Mary Kay Kane,9780314285881,,Law
Questions &amp;amp; answers,Anita Bernstein,9780769881904,,Law
Questions &amp;amp; answers,William V. Dorsaneo,9781632828583,,Law
"Civil procedure: cases, problems and exercises",John T. Cross,9781634600170,,Law
Constitutional Law,Christopher N. May,9781454864226,784,Law
Constitutional law--individual rights,Allan Ides,9781454863922,,Law
Understanding Criminal Law,Joshua Dressler,9781632838643,603,Law
Property,D. Barlow Burke,9781454850069,,Law
Real property in a nutshell,Roger Bernhardt,9781634599207,,Law
Questions &amp;amp; answers,John Copeland Nagle,9780769865102,,Law
Understanding Property Law,John G. Sprankling,9781422498736,,Law
The Law Of Torts: Examples &Amp;Amp; Explanations,Joseph W. Glannon,9781454850113,,Law
Torts In A Nutshell,Edward Kionka,9781628105513,,Law
Questions &amp;amp; answers,Anita Bernstein,9780769881904,,Law
Justice,Michael J. Sandel,9780374532505,308,Law
The Catcher in the Rye,J.D. Salinger,9780316769488,240,Literature
One Flew Over the Cuckoo's Nest,Ken Kesey,9780451163967,272,Literature
The Stranger,Albert Camus,9780679720201,123,Literature
"The Myth of Sisyphus, and Other Essays",Albert Camus,9780679733737,212,Literature
Brave New World,Aldous Huxley,9780060850524,279,Literature
Fahrenheit 451,Ray Bradbury,9781451673319,159,Literature
The Road to Wigan Pier,George Orwell,9780156767507,232,Literature
1984,George Orwell,9780451524935,268,Literature
One Day in the Life of Ivan Denisovich,Aleksandr Isaevich Solzhenit︠s︡yn,9780451228147,181,Literature
